Component ID,Description,EDP,Typology,Performance Group,Quantity,Damage States,"DS1, Median","DS2, Median","DS3, Median","DS4, Median","DS5, Median","DS1, Total Dispersion","DS2, Total Dispersion","DS3, Total Dispersion","DS4, Total Dispersion","DS5, Total Dispersion","DS1, Cost","DS2, Cost","DS3, Cost","DS4, Cost","DS5, Cost","DS1, Cost Dispersion","DS2, Cost Dispersion","DS3, Cost Dispersion","DS4, Cost Dispersion","DS5, Cost Dispersion","DS1, Best Fit","DS2, Best Fit","DS3, Best Fit","DS4, Best Fit","DS5, Best Fit"
1,Floor Finishes including Raised Access Floors,PFA,NS,2,0.212,1,0.5,,,,,0.5,,,,,316.4589662512658,,,,,0.35,,,,,Normal,,,,
2,Roofing,PFA,NS,2,0.0297289728,2,0.4,0.5,,,,0.3,0.3,,,,67.27444010443575,110.8682772921101,,,,0.6400000000000002,0.43,,,,Lognormal,Lognormal,,,
3,Ceilings - Gypsum board,PFA,NS,2,0.088257888,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.6076701042291,122.1703832296553,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
4,Ceilings - Other,PFA,NS,2,0.004645152,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.6076701042291,122.1703832296553,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
5,Elevators ,PFA,NS,2,0.000492386112,4,0.39,0.39,0.39,0.39,,0.45,0.45,0.45,0.45,,4400.0,23100.0,39100.0,41600.0,,0.8741,0.2776,0.4083,0.4877,,Lognormal,Normal,Normal,Normal,
6,Piping - Cold Domestic Water Piping  - 2 ½ inch diameter or smaller,PFA,NS,2,0.0323088,2,1.5,2.6,,,,0.4,0.4,,,,0.9514435695538057,8.694225721784777,,,,0.7637000000000002,0.4054,,,,Lognormal,Lognormal,,,
7,Piping - Cold Domestic Water Piping – greater than 2 ½ diameter,PFA,NS,2,0.004572000000000001,2,1.5,2.6,,,,0.4,0.4,,,,1.148293963254593,10.99081364829396,,,,0.6487672677153935,0.4038100551201905,,,,Lognormal,Lognormal,,,
8,Piping - Hot Domestic Water Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.0646176,2,1.5,2.6,,,,0.4,0.4,,,,0.9514435695538057,8.694225721784777,,,,0.7637000000000002,0.4054,,,,Lognormal,Lognormal,,,
9,Piping - Hot Domestic Waster Piping – greater than 2 ½ diameter,PFA,NS,2,0.009144000000000001,2,1.5,2.6,,,,0.4,0.4,,,,1.148293963254593,10.99081364829396,,,,0.6487672677153935,0.4038100551201905,,,,Lognormal,Lognormal,,,
10,Piping - Sanitary Waste Piping,PFA,NS,2,0.0368808,2,1.2,2.4,,,,0.5,0.5,,,,1.312335958005249,9.350393700787402,,,,0.5800000000000002,0.3400000000000001,,,,Lognormal,Lognormal,,,
11,HVAC - HVAC Ducts – less than 6 sq. feet,PFA,NS,2,0.01524,2,1.5,2.25,,,,0.4,0.4,,,,2.13254593175853,18.86482939632546,,,,0.3674,0.1002,,,,Lognormal,Lognormal,,,
12,HVAC - HVAC in-line Drops & Diffusers,PFA,NS,2,0.008,1,1.3,,,,,0.4,,,,,300.0,,,,,0.2066,,,,,Normal,,,,
13,HVAC - Fan Coil Unis,PFA,NS,2,0.004,1,1.9,,,,,0.4,,,,,1500.0,,,,,0.2942,,,,,Lognormal,,,,
14,Piping - Heating Water Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.001524,2,0.55,1.1,,,,0.5,0.5,,,,0.9514435695538057,8.694225721784777,,,,0.7637000000000002,0.4054,,,,Lognormal,Lognormal,,,
15,Piping - Heating Water Piping – greater than 2 ½ diameter,PFA,NS,2,0.001524,2,1.5,2.6,,,,0.4,0.4,,,,1.148293963254593,10.99081364829396,,,,0.6488000000000002,0.4038,,,,Lognormal,Lognormal,,,
16,Electrical - Transformers < 100kVA,PFA,NS,2,5e-05,1,1.01,,,,,0.6,,,,,7575.0,,,,,0.1875,,,,,Lognormal,,,,
17,Electrical - Distribution Panel,PFA,NS,2,1.3e-05,1,2.16,,,,,0.45,,,,,9275.0,,,,,0.1572,,,,,Lognormal,,,,
18,Electrical - Wall mounted switchgear,PFA,NS,2,0.0008,1,1.28,,,,,0.4,,,,,9275.0,,,,,0.1572,,,,,Lognormal,,,,
19,Fire Protection - Sprinkler Piping  ,PFA,NS,2,0.06705599999999999,2,1.1,2.4,,,,0.4,0.5,,,,1.148293963254593,8.694225721784777,,,,0.6488000000000002,0.4054,,,,Lognormal,Lognormal,,,
20,Fire Protection - Sprinkler Drops,PFA,NS,2,0.012,2,0.75,0.95,,,,0.4,0.4,,,,5.0,5.0,,,,0.3665,0.3665,,,,Lognormal,Lognormal,,,
